StartNode,EndNode
250,109
109,20
20,227
227,29
29,97
97,132
132,165
165,6
6,243
243,16
16,135
135,146
146,84
84,52
52,181
181,162
162,75
75,15
15,102
102,233
233,176
176,136
136,226
226,32
32,78
78,201
201,67
67,51
51,158
158,60
60,110
110,41
41,210
210,178
178,92
92,250
250,23
23,236
236,250
251,131
131,214
214,57
57,203
203,13
13,167
167,89
89,248
248,121
121,189
189,150
150,58
58,183
183,36
36,220
220,206
206,83
83,217
217,195
195,2
2,170
170,230
230,153
153,26
26,148
148,101
101,193
193,125
125,64
64,224
224,163
163,177
177,237
237,249
249,157
157,82
82,235
235,11
11,241
241,251
251,42
42,197
197,194
194,80
80,113
113,103
103,251
252,12
12,133
133,5
5,211
211,90
90,61
61,130
130,129
129,221
221,205
205,31
31,229
229,139
139,202
202,231
231,142
142,68
68,234
234,209
209,138
138,21
21,74
74,104
104,141
141,116
116,126
126,215
215,8
8,3
3,118
118,190
190,112
112,96
96,73
73,198
198,30
30,252
253,188
188,34
34,182
182,28
28,156
156,144
144,192
192,184
184,218
218,245
245,151
151,86
86,149
149,77
77,91
91,180
180,63
63,216
216,46
46,93
93,187
187,161
161,179
179,200
200,152
152,208
208,160
160,7
7,164
164,140
140,186
186,100
100,145
145,115
115,253
253,81
81,4
4,253
