StartNode,EndNode
250,111
111,196
196,48
48,174
174,143
143,14
14,107
107,212
212,77
77,88
88,247
247,149
149,86
86,151
151,94
94,245
245,50
50,91
91,45
45,187
187,93
93,161
161,179
179,46
46,216
216,180
180,63
63,200
200,199
199,128
128,98
98,240
240,117
117,92
92,178
178,210
210,41
41,110
110,60
60,158
158,134
134,159
159,147
147,127
127,40
40,24
24,17
17,175
175,59
59,75
75,250
250,219
219,15
15,102
102,39
39,233
233,176
176,136
136,226
226,32
32,78
78,201
201,67
67,51
51,97
97,132
132,29
29,227
227,20
20,109
109,105
105,85
85,222
222,165
165,6
6,37
37,44
44,22
22,120
120,23
23,236
236,250
251,101
101,193
193,203
203,57
57,214
214,131
131,238
238,10
10,42
42,197
197,194
194,80
80,113
113,103
103,168
168,55
55,47
47,66
66,56
56,242
242,38
38,225
225,241
241,11
11,235
235,82
82,157
157,43
43,223
223,122
122,146
146,135
135,84
84,243
243,169
169,171
171,181
181,162
162,52
52,16
16,3
3,118
118,123
123,8
8,190
190,69
69,177
177,237
237,62
62,249
249,251
251,224
224,163
163,195
195,217
217,183
183,150
150,58
58,36
36,220
220,189
189,106
106,121
121,248
248,89
89,167
167,13
13,114
114,148
148,26
26,9
9,153
153,230
230,170
170,2
2,30
30,18
18,137
137,173
173,12
12,49
49,124
124,53
53,228
228,65
65,206
206,83
83,27
27,125
125,64
64,251
252,231
231,202
202,139
139,1
1,229
229,71
71,31
31,205
205,221
221,129
129,130
130,61
61,90
90,211
211,79
79,133
133,5
5,191
191,54
54,204
204,198
198,73
73,207
207,166
166,96
96,112
112,213
213,215
215,116
116,126
126,104
104,74
74,141
141,25
25,246
246,208
208,152
152,156
156,144
144,192
192,184
184,218
218,119
119,239
239,35
35,182
182,28
28,95
95,34
34,188
188,252
252,87
87,154
154,76
76,155
155,108
108,244
244,70
70,99
99,209
209,100
100,145
145,115
115,4
4,81
81,186
186,21
21,138
138,33
33,19
19,185
185,72
72,172
172,140
140,7
7,160
160,164
164,142
142,68
68,234
234,232
232,252
