StartNode,EndNode
250,200
200,250
250,92
92,250
250,22
22,250
250,134
134,250
250,32
32,250
250,44
44,250
250,14
14,250
250,37
37,250
251,59
59,251
251,197
197,251
251,42
42,251
251,147
147,251
251,17
17,251
251,66
66,251
251,159
159,251
251,16
16,251
252,34
34,252
252,35
35,252
252,208
208,252
252,246
246,252
252,126
126,252
252,87
87,252
252,81
81,252
253,27
27,253
253,54
54,253
253,163
163,253
253,106
106,253
253,65
65,253
253,122
122,253
253,230
230,253
253,114
114,253
254,104
104,254
254,155
155,254
254,130
130,254
254,1
1,254
254,231
231,254
