StartNode,EndNode
101,97
97,95
95,13
13,94
94,6
6,89
89,27
27,52
52,18
18,96
96,101
101,5
5,84
84,17
17,45
45,46
46,8
8,83
83,60
60,37
37,98
98,101
101,100
100,42
42,87
87,57
57,15
15,43
43,14
14,38
38,86
86,44
44,101
101,16
16,91
91,85
85,93
93,99
99,59
59,92
92,61
61,101
102,73
73,21
21,26
26,40
40,58
58,53
53,28
28,50
50,76
76,12
12,102
102,80
80,68
68,77
77,3
3,79
79,78
78,34
34,29
29,24
24,54
54,102
102,55
55,25
25,4
4,23
23,67
67,39
39,56
56,75
75,41
41,22
22,102
102,74
74,72
72,2
2,102
103,70
70,51
51,33
33,81
81,9
9,35
35,71
71,65
65,66
66,20
20,103
103,30
30,32
32,90
90,63
63,64
64,49
49,36
36,47
47,48
48,7
7,103
103,31
31,88
88,62
62,11
11,10
10,1
1,69
69,82
82,19
19,103
