StartNode,EndNode
250,137
137,54
54,8
8,250
250,135
135,84
84,146
146,250
250,72
72,19
19,79
79,250
250,78
78,32
32,136
136,250
250,121
121,106
106,189
189,250
250,113
113,47
47,67
67,250
250,176
176,226
226,219
219,250
250,235
235,170
170,2
2,250
250,12
12,133
133,185
185,250
250,123
123,3
3,118
118,250
251,37
37,44
44,199
199,251
251,77
77,212
212,45
45,251
251,151
151,247
247,88
88,251
251,46
46,86
86,187
187,251
251,91
91,50
50,94
94,251
251,41
41,85
85,6
6,251
251,192
192,119
119,7
7,251
251,115
115,1
1,209
209,251
251,200
200,14
14,174
174,251
