StartNode,EndNode
250,6
6,243
243,169
169,250
250,247
247,149
149,86
86,250
250,107
107,212
212,45
45,250
250,117
117,240
240,98
98,250
250,59
59,176
176,60
60,250
250,85
85,116
116,44
44,250
250,14
14,143
143,174
174,250
251,170
170,2
2,195
195,251
251,17
17,40
40,24
24,251
251,173
173,124
124,228
228,251
251,11
11,175
175,55
55,251
251,214
214,38
38,118
118,251
251,101
101,57
57,193
193,251
251,26
26,230
230,183
183,251
252,21
21,138
138,252
252,129
129,130
130,133
133,252
252,71
71,31
31,205
205,252
252,231
231,139
139,229
229,252
252,172
172,81
81,4
4,252
252,164
164,7
7,140
140,252
252,184
184,28
28,100
100,252
252,99
99,70
70,202
202,252
