StartNode,EndNode
1001,680
680,458
458,963
963,52
52,335
335,1001
1001,382
382,708
708,650
650,408
408,989
989,1001
1001,415
415,737
737,542
542,943
943,651
651,1001
1001,500
500,632
632,64
64,950
950,1001
1001,109
109,557
557,704
704,85
85,553
553,1001
1001,552
552,323
323,728
728,614
614,925
925,1001
1001,376
376,711
711,374
374,674
674,756
756,1001
1001,399
399,152
152,223
223,267
267,561
561,1001
1001,390
390,898
898,16
16,359
359,395
395,1001
1001,840
840,551
551,192
192,830
830,79
79,1001
1001,11
11,12
12,462
462,396
396,670
670,1001
1001,476
476,690
690,54
54,432
432,834
834,1001
1001,380
380,901
901,90
90,139
139,707
707,1001
1001,324
324,120
120,369
369,994
994,883
883,1001
1002,584
584,69
69,238
238,820
820,265
265,1002
1002,163
163,908
908,143
143,626
626,129
129,1002
1002,103
103,617
617,372
372,575
575,350
350,1002
1002,968
968,914
914,413
413,868
868,292
292,1002
1002,258
258,890
890,588
588,781
781,315
315,1002
1002,991
991,775
775,794
794,645
645,577
577,1002
1002,303
303,414
414,636
636,554
554,162
162,1002
1002,610
610,589
589,232
232,32
32,330
330,1002
1002,440
440,928
928,402
402,915
915,836
836,1002
1002,293
293,962
962,921
921,812
812,909
909,1002
1002,944
944,849
849,855
855,70
70,301
301,1002
1003,808
808,594
594,873
873,296
296,687
687,1003
1003,487
487,917
917,572
572,904
904,191
191,1003
1003,644
644,471
471,642
642,831
831,796
796,1003
1003,884
884,986
986,203
203,366
366,881
881,1003
1003,196
196,82
82,437
437,212
212,998
998,1003
1003,774
774,379
379,50
50,338
338,401
401,1003
1003,773
773,75
75,10
10,578
578,61
61,1003
1003,183
183,698
698,720
720,948
948,431
431,1003
1003,491
491,804
804,186
186,696
696,30
30,1003
1003,240
240,527
527,860
860,88
88,546
546,1003
1003,838
838,730
730,37
37,55
55,581
581,1003
1003,430
430,959
959,87
87,421
421,798
798,1003
1004,803
803,574
574,277
277,363
363,31
31,1004
1004,321
321,1
1,207
207,787
787,902
902,1004
1004,616
616,22
22,635
635,671
671,767
767,1004
1004,221
221,481
481,591
591,807
807,815
815,1004
1004,721
721,494
494,456
456,283
283,678
678,1004
1004,287
287,657
657,601
601,964
964,149
149,1004
1004,747
747,583
583,856
856,328
328,200
200,1004
1004,871
871,260
260,941
941,273
273,599
599,1004
1004,113
113,946
946,662
662,789
789,365
365,1004
1004,370
370,576
576,586
586,334
334,177
177,1004
1004,362
362,983
983,281
281,625
625,1004
1004,778
778,624
624,878
878,261
261,249
249,1004
