Instance,v1_full,v1_noswap,og_full,og_noswap
p01,217.42,215.15,243.72,232.34
p02,219.2,218.4,243.72,221.55
p03,214.84,202.43,277.5,218.73
p04,668.81,711.8,711,740.45
p05,630.78,655.4,713,713.39
p06,435.42,431.32,481.2,471.61
p07,309.48,349.19,322.29,359.18
p08,3333.93,3079.58,3448.84,3380.67
p09,1917.82,2102.98,2201.39,2157.1
p10,1493.13,1525.37,1630.94,1614.27
p11,1145.75,1101.33,1211.33,1096.74
p12,1273.77,1307.11,1319.93,1242.12
p13,1226.63,1191.96,1163.27,1247.78
p14,1284.73,1248.53,1209.07,1332.96
p15,1347.67,1355.08,1345.54,1309.68
p16,1289.29,1328,1297.4,1326.32
p17,1320.91,1282.38,1276.14,1238.24
p18,1260.24,1317.54,1276.14,1345.64
p19,1266.92,1289.95,1257.74,1276.14
p20,1323.1,1338.42,1319.93,1297.4
p21,1363.18,1309.14,1278.82,1338.07
p22,1295.67,1351.96,1311.03,1286.73
p23,1252.36,1262.65,1254.27,1267.45
