StartNode,EndNode
361,4
4,12
12,20
20,361
361,36
36,17
17,9
9,361
361,26
26,18
18,10
10,361
361,153
153,35
35,27
27,361
361,16
16,32
32,15
15,361
362,67
67,59
59,51
51,362
362,74
74,66
66,58
58,362
362,70
70,78
78,360
360,362
362,357
357,76
76,68
68,362
362,63
63,71
71,79
79,362
363,86
86,94
94,110
110,363
363,100
100,108
108,116
116,363
363,102
102,118
118,80
80,363
363,75
75,113
113,105
105,363
363,81
81,97
97,89
89,363
364,154
154,146
146,138
138,364
364,127
127,151
151,159
159,364
364,132
132,140
140,148
148,364
364,152
152,160
160,157
157,364
364,150
150,158
158,142
142,364
365,173
173,189
189,197
197,365
365,184
184,192
192,190
190,365
365,185
185,193
193,194
194,365
365,171
171,195
195,179
179,365
366,238
238,222
222,214
214,366
366,211
211,219
219,213
213,366
366,202
202,203
203,205
205,366
366,225
225,233
233,228
228,366
366,232
232,229
229,221
221,366
367,266
266,258
258,250
250,367
367,267
267,277
277,269
269,367
367,249
249,257
257,265
265,367
367,305
305,262
262,246
246,367
367,261
261,242
242,244
244,367
368,286
286,302
302,310
310,368
368,281
281,289
289,283
283,368
368,317
317,33
33,280
280,368
368,306
306,315
315,307
307,368
368,292
292,300
300,284
284,368
369,325
325,369
369,338
338,346
346,354
354,369
369,336
336,344
344,352
352,369
369,321
321,324
324,326
326,369
369,318
318,353
353,345
345,369
369,342
342,350
350,334
334,369
