StartNode,EndNode
361,1
1,17
17,9
9,361
361,238
238,33
33,25
25,361
361,8
8,16
16,24
24,361
361,31
31,39
39,38
38,361
361,18
18,26
26,34
34,361
362,62
62,79
79,71
71,362
362,64
64,72
72,63
63,362
362,66
66,74
74,65
65,362
362,59
59,67
67,75
75,362
362,47
47,55
55,362
363,110
110,102
102,94
94,363
363,104
104,112
112,109
109,363
363,83
83,107
107,115
115,363
363,99
99,117
117,111
111,363
363,84
84,92
92,363
364,132
132,140
140,134
134,364
364,145
145,37
37,156
156,364
364,125
125,149
149,157
157,364
364,158
158,40
40,113
113,364
364,129
129,148
148,124
124,364
365,167
167,175
175,365
365,199
199,190
190,182
182,365
365,195
195,200
200,192
192,365
365,184
184,155
155,147
147,365
366,205
205,366
366,228
228,217
217,209
209,366
366,35
35,198
198,240
240,366
366,226
226,234
234,219
219,366
366,227
227,235
235,193
193,366
367,269
269,277
277,236
236,367
367,267
267,275
275,233
233,367
367,264
264,272
272,280
280,367
367,246
246,241
241,367
367,249
249,257
257,265
265,367
368,292
292,368
368,303
303,311
311,319
319,368
368,305
305,313
313,278
278,368
368,304
304,312
312,315
315,368
368,288
288,296
296,287
287,368
369,342
342,350
350,356
356,369
369,328
328,344
344,336
336,369
369,339
339,347
347,355
355,369
369,359
359,348
348,332
332,369
369,330
330,331
331,323
323,369
