StartNode,EndNode
250,39
39,38
38,242
242,56
56,66
66,168
168,103
103,80
80,194
194,197
197,42
42,10
10,238
238,131
131,214
214,57
57,203
203,11
11,241
241,225
225,223
223,43
43,157
157,82
82,224
224,163
163,250
250,27
27,173
173,137
137,18
18,30
30,191
191,5
5,33
33,234
234,68
68,142
142,232
232,99
99,70
70,108
108,244
244,76
76,154
154,145
145,100
100,138
138,21
21,186
186,172
172,74
74,104
104,215
215,213
213,112
112,250
250,64
64,125
125,193
193,101
101,114
114,148
148,26
26,9
9,153
153,230
230,58
58,183
183,150
150,220
220,36
36,83
83,206
206,228
228,53
53,124
124,49
49,129
129,221
221,61
61,90
90,211
211,79
79,19
19,72
72,166
166,207
207,73
73,198
198,204
204,250
251,126
126,116
116,123
123,3
3,8
8,190
190,69
69,177
177,146
146,84
84,135
135,16
16,52
52,75
75,162
162,59
59,171
171,181
181,169
169,222
222,111
111,236
236,22
22,120
120,23
23,196
196,48
48,143
143,128
128,179
179,161
161,93
93,216
216,180
180,63
63,200
200,251
251,246
246,160
160,28
28,156
156,35
35,239
239,184
184,218
218,245
245,88
88,77
77,212
212,45
45,107
107,98
98,240
240,117
117,92
92,178
178,210
210,110
110,60
60,109
109,20
20,227
227,29
29,132
132,97
97,51
51,201
201,32
32,78
78,24
24,40
40,17
17,55
55,175
175,136
136,233
233,102
102,15
15,243
243,165
165,37
37,44
44,199
199,251
