StartNode,EndNode
250,92
92,178
178,210
210,41
41,110
110,60
60,109
109,20
20,227
227,29
29,97
97,132
132,181
181,169
169,6
6,165
165,37
37,44
44,23
23,48
48,14
14,128
128,187
187,93
93,161
161,179
179,200
200,22
22,120
120,236
236,111
111,250
251,56
56,38
38,39
39,102
102,15
15,52
52,162
162,75
75,233
233,176
176,136
136,226
226,32
32,201
201,78
78,175
175,47
47,168
168,103
103,113
113,80
80,194
194,197
197,42
42,10
10,238
238,131
131,11
11,241
241,235
235,82
82,157
157,249
249,146
146,237
237,177
177,224
224,163
163,64
64,125
125,193
193,101
101,203
203,57
57,214
214,251
251,223
223,43
43,122
122,242
242,251
252,137
137,54
54,204
204,198
198,73
73,207
207,191
191,5
5,133
133,12
12,49
49,211
211,90
90,61
61,130
130,53
53,228
228,173
173,27
27,195
195,2
2,170
170,148
148,26
26,230
230,153
153,248
248,121
121,189
189,150
150,58
58,183
183,36
36,220
220,206
206,83
83,252
253,95
95,182
182,28
28,156
156,144
144,192
192,184
184,218
218,119
119,245
245,91
91,46
46,216
216,63
63,180
180,152
152,208
208,246
246,141
141,104
104,74
74,140
140,186
186,100
100,145
145,244
244,108
108,76
76,154
154,188
188,253
253,4
4,81
81,21
21,138
138,234
234,68
68,142
142,70
70,99
99,209
209,115
115,253
