StartNode,EndNode
361,6
6,7
7,8
8,361
361,18
18,10
10,2
2,361
361,32
32,40
40,158
158,361
361,19
19,35
35,153
153,361
361,240
240,27
27,15
15,361
362,38
38,73
73,65
65,362
362,62
62,70
70,78
78,362
362,67
67,75
75,42
42,362
362,63
63,79
79,60
60,362
363,108
108,102
102,94
94,363
363,106
106,98
98,90
90,363
363,113
113,80
80,118
118,363
363,110
110,97
97,89
89,363
364,146
146,154
154,131
131,364
364,145
145,137
137,129
129,364
364,147
147,155
155,200
200,364
364,157
157,364
364,148
148,142
142,135
135,364
365,166
166,164
164,161
161,365
365,173
173,181
181,189
189,365
365,184
184,192
192,365
365,190
190,235
235,193
193,365
365,195
195,179
179,365
366,213
213,221
221,211
211,366
366,218
218,226
226,234
234,366
366,225
225,217
217,209
209,366
366,280
280,33
33,238
238,366
366,215
215,232
232,203
203,366
367,244
244,247
247,248
248,367
367,266
266,274
274,259
259,367
367,241
241,249
249,257
257,367
367,272
272,278
278,270
270,367
367,246
246,261
261,242
242,367
368,288
288,296
296,295
295,368
368,303
303,311
311,312
312,368
368,289
289,297
297,305
305,368
368,310
310,315
315,307
307,368
368,286
286,300
300,284
284,368
369,338
338,346
346,354
354,369
369,336
336,344
344,352
352,369
369,326
326,369
369,342
342,353
353,345
345,369
369,350
350,358
358,334
334,369
