StartNode,EndNode
250,105
105,222
222,165
165,250
250,67
67,51
51,147
147,250
250,200
200,199
199,37
37,250
250,169
169,181
181,171
171,250
250,134
134,158
158,159
159,250
250,175
175,176
176,59
59,250
250,85
85,98
98,196
196,250
251,241
241,225
225,224
224,251
251,148
148,230
230,9
9,251
251,89
89,167
167,13
13,251
251,112
112,8
8,190
190,251
251,124
124,130
130,129
129,251
251,163
163,123
123,3
3,251
251,133
133,118
118,38
38,251
251,64
64,183
183,26
26,251
252,234
234,138
138,21
21,252
252,86
86,247
247,88
88,252
252,119
119,239
239,35
35,252
252,172
172,140
140,164
164,252
252,7
7,160
160,1
1,252
252,202
202,70
70,100
100,252
