StartNode,EndNode
250,111
111,236
236,23
23,48
48,174
174,143
143,14
14,92
92,178
178,210
210,41
41,110
110,109
109,20
20,227
227,29
29,97
97,132
132,105
105,222
222,165
165,6
6,243
243,52
52,219
219,15
15,102
102,233
233,136
136,226
226,32
32,78
78,201
201,67
67,51
51,147
147,127
127,40
40,24
24,17
17,75
75,162
162,250
251,101
101,193
193,125
125,195
195,2
2,58
58,150
150,36
36,220
220,206
206,83
83,217
217,27
27,173
173,137
137,18
18,30
30,54
54,204
204,198
198,73
73,166
166,207
207,191
191,5
5,12
12,49
49,251
251,203
203,131
131,238
238,10
10,42
42,197
197,194
194,80
80,113
113,103
103,168
168,66
66,56
56,242
242,223
223,43
43,122
122,39
39,84
84,135
135,146
146,237
237,177
177,69
69,62
62,249
249,157
157,82
82,235
235,251
252,186
186,81
81,4
4,115
115,145
145,244
244,76
76,154
154,87
87,188
188,95
95,34
34,182
182,156
156,144
144,192
192,218
218,245
245,94
94,151
151,86
86,247
247,88
88,50
50,77
77,91
91,46
46,216
216,63
63,180
180,152
152,208
208,246
246,25
25,141
141,104
104,74
74,252
252,142
142,68
68,71
71,31
31,205
205,61
61,90
90,211
211,79
79,19
19,185
185,72
72,252
