StartNode,EndNode
250,216
216,46
46,93
93,250
250,200
200,63
63,180
180,250
250,187
187,161
161,179
179,250
250,120
120,22
22,44
44,250
250,98
98,240
240,117
117,250
250,88
88,50
50,25
25,250
251,162
162,181
181,169
169,251
251,226
226,32
32,78
78,251
251,84
84,135
135,146
146,251
251,233
233,176
176,136
136,251
251,168
168,103
103,113
113,251
251,222
222,85
85,219
219,251
251,24
24,55
55,66
66,251
252,27
27,2
2,220
220,252
252,150
150,183
183,58
58,252
252,217
217,83
83,206
206,252
252,204
204,198
198,73
73,252
252,225
225,62
62,252
252,69
69,123
123,166
166,252
253,209
209,186
186,4
4,253
253,100
100,21
21,138
138,253
253,1
1,253
253,79
79,185
185,172
172,253
