StartNode,EndNode
361,2
2,361
361,11
11,19
19,27
27,35
35,153
153,240
240,361
361,8
8,16
16,24
24,32
32,40
40,158
158,361
362,44
44,362
362,54
54,62
62,70
70,78
78,79
79,71
71,362
362,43
43,51
51,59
59,67
67,75
75,53
53,362
363,81
81,89
89,97
97,105
105,113
113,116
116,363
363,103
103,119
119,118
118,80
80,110
110,102
102,363
364,122
122,130
130,138
138,146
146,145
145,137
137,364
364,152
152,115
115,151
151,142
142,134
134,126
126,364
365,181
181,195
195,187
187,179
179,171
171,170
170,365
365,166
166,174
174,182
182,190
190,198
198,191
191,365
366,211
211,219
219,227
227,235
235,213
213,205
205,366
366,209
209,236
236,238
238,33
33,230
230,207
207,366
367,241
241,249
249,367
367,243
243,251
251,259
259,267
267,275
275,367
367,248
248,256
256,264
264,272
272,280
280,271
271,367
368,301
301,317
317,36
36,320
320,312
312,304
304,368
368,286
286,294
294,302
302,310
310,318
318,308
308,368
369,338
338,346
346,354
354,355
355,347
347,339
339,369
369,335
335,344
344,352
352,360
360,349
349,341
341,369
