StartNode,EndNode
161,14
14,22
22,30
30,161
161,11
11,19
19,27
27,161
161,23
23,31
31,39
39,161
161,20
20,28
28,36
36,161
161,2
2,10
10,3
3,161
161,12
12,9
9,1
1,161
161,8
8,16
16,5
5,161
162,59
59,67
67,75
75,162
162,54
54,62
62,70
70,162
162,60
60,68
68,76
76,162
162,58
58,66
66,74
74,162
162,57
57,46
46,55
55,162
162,43
43,53
53,162
163,98
98,106
106,82
82,163
163,103
103,111
111,119
119,163
163,100
100,108
108,116
116,163
163,120
120,117
117,115
115,163
163,89
89,90
90,93
93,163
164,128
128,125
125,164
164,137
137,145
145,153
153,164
164,135
135,143
143,159
159,164
164,141
141,149
149,157
157,164
164,140
140,148
148,156
156,164
164,147
147,146
146,130
130,164
