StartNode,EndNode
250,98
98,174
174,196
196,250
250,23
23,236
236,111
111,250
250,77
77,88
88,245
245,250
250,247
247,86
86,151
151,250
250,51
51,134
134,158
158,250
250,184
184,28
28,116
116,250
250,132
132,59
59,85
85,250
251,220
220,206
206,83
83,251
251,167
167,89
89,153
153,251
251,189
189,121
121,248
248,251
251,147
147,127
127,40
40,251
251,183
183,230
230,148
148,251
251,13
13,175
175,56
56,251
251,64
64,176
176,38
38,251
251,170
170,26
26,114
114,251
252,234
234,252
252,81
81,99
99,1
1,252
252,164
164,140
140,33
33,252
252,71
71,68
68,142
142,252
252,231
231,139
139,229
229,252
252,90
90,61
61,211
211,252
252,172
172,19
19,79
79,252
252,145
145,100
100,186
186,252
252,138
138,72
72,185
185,252
252,202
202,70
70,209
209,252
