StartNode,EndNode
250,92
92,178
178,250
250,86
86,149
149,151
151,250
250,98
98,240
240,117
117,250
250,196
196,35
35,119
119,250
250,88
88,50
50,25
25,250
251,58
58,150
150,183
183,251
251,146
146,3
3,251
251,165
165,37
37,6
6,251
251,222
222,85
85,219
219,251
251,24
24,55
55,251
252,137
137,252
252,220
220,217
217,204
204,252
252,228
228,53
53,124
124,252
252,248
248,121
121,189
189,252
252,225
225,62
62,54
54,252
252,114
114,9
9,65
65,252
253,239
239,215
215,213
213,253
253,79
79,19
19,185
185,253
253,1
1,71
71,253
253,116
116,126
126,104
104,253
