StartNode,EndNode
250,111
111,236
236,23
23,48
48,174
174,143
143,14
14,107
107,240
240,117
117,92
92,178
178,210
210,41
41,110
110,109
109,20
20,227
227,29
29,97
97,132
132,105
105,222
222,165
165,6
6,37
37,22
22,120
120,179
179,161
161,93
93,187
187,91
91,50
50,88
88,151
151,94
94,218
218,192
192,144
144,250
250,169
169,181
181,171
171,126
126,141
141,25
25,246
246,208
208,152
152,180
180,63
63,216
216,46
46,250
251,114
114,148
148,230
230,9
9,153
153,248
248,89
89,167
167,13
13,101
101,193
193,170
170,58
58,150
150,36
36,220
220,206
206,83
83,217
217,27
27,204
204,112
112,8
8,190
190,123
123,3
3,135
135,146
146,84
84,16
16,243
243,52
52,219
219,15
15,102
102,39
39,233
233,136
136,226
226,32
32,78
78,251
251,203
203,131
131,238
238,10
10,42
42,197
197,194
194,80
80,113
113,103
103,168
168,47
47,66
66,56
56,242
242,223
223,43
43,122
122,62
62,249
249,157
157,82
82,235
235,241
241,225
225,237
237,177
177,69
69,163
163,251
252,234
234,138
138,21
21,186
186,81
81,4
4,115
115,145
145,209
209,154
154,188
188,95
95,34
34,182
182,160
160,7
7,74
74,104
104,215
215,213
213,96
96,73
73,198
198,207
207,30
30,18
18,137
137,191
191,5
5,12
12,49
49,61
61,90
90,252
252,142
142,68
68,231
231,139
139,229
229,71
71,31
31,205
205,252
