StartNode,EndNode
250,165
165,6
6,243
243,84
84,135
135,146
146,237
237,177
177,69
69,249
249,43
43,223
223,122
122,118
118,123
123,3
3,8
8,190
190,112
112,213
213,215
215,116
116,141
141,25
25,7
7,140
140,74
74,96
96,73
73,198
198,207
207,166
166,250
251,175
175,47
47,55
55,168
168,66
66,113
113,103
103,80
80,194
194,197
197,42
42,56
56,242
242,38
38,39
39,102
102,15
15,219
219,75
75,59
59,181
181,169
169,52
52,233
233,176
176,136
136,32
32,78
78,201
201,67
67,51
51,134
134,158
158,60
60,110
110,109
109,20
20,227
227,29
29,97
97,132
132,105
105,85
85,222
222,178
178,210
210,41
41,147
147,127
127,40
40,251
251,17
17,24
24,159
159,251
252,35
35,119
119,218
218,184
184,192
192,144
144,156
156,28
28,182
182,95
95,34
34,160
160,208
208,199
199,44
44,22
22,120
120,23
23,236
236,111
111,196
196,48
48,174
174,143
143,98
98,240
240,117
117,107
107,45
45,187
187,93
93,46
46,216
216,63
63,180
180,200
200,179
179,161
161,91
91,77
77,50
50,88
88,151
151,94
94,86
86,149
149,247
247,245
245,252
253,27
27,173
173,137
137,18
18,54
54,195
195,2
2,170
170,148
148,26
26,9
9,153
153,89
89,167
167,13
13,101
101,193
193,203
203,57
57,214
214,131
131,238
238,10
10,11
11,241
241,235
235,82
82,157
157,225
225,163
163,64
64,217
217,83
83,36
36,183
183,58
58,150
150,189
189,121
121,106
106,65
65,228
228,53
53,253
254,79
79,5
5,133
133,12
12,49
49,124
124,30
30,191
191,19
19,185
185,72
72,33
33,234
234,68
68,142
142,232
232,70
70,99
99,108
108,244
244,209
209,145
145,115
115,100
100,21
21,138
138,186
186,4
4,188
188,154
154,76
76,155
155,202
202,139
139,229
229,71
71,31
31,205
205,221
221,129
129,130
130,61
61,90
90,172
172,164
164,1
1,254
