StartNode,EndNode
1001,572
572,1
1,762
762,645
645,574
574,1001
1001,20
20,705
705,860
860,679
679,290
290,1001
1001,673
673,674
674,259
259,291
291,612
612,1001
1001,711
711,227
227,372
372,497
497,591
591,1001
1001,248
248,387
387,671
671,478
478,954
954,1001
1001,359
359,985
985,499
499,209
209,181
181,1001
1001,485
485,907
907,122
122,220
220,745
745,1001
1001,102
102,559
559,846
846,881
881,648
648,1001
1001,270
270,109
109,935
935,303
303,1001
1001,749
749,61
61,118
118,817
817,713
713,1001
1001,424
424,996
996,744
744,885
885,544
544,1001
1002,692
692,593
593,619
619,404
404,206
206,1002
1002,149
149,475
475,970
970,658
658,162
162,1002
1002,473
473,649
649,237
237,402
402,696
696,1002
1002,82
82,532
532,408
408,401
401,700
700,1002
1002,796
796,253
253,725
725,963
963,257
257,1002
1002,760
760,64
64,685
685,326
326,221
221,1002
1002,710
710,434
434,277
277,910
910,112
112,1002
1002,89
89,975
975,191
191,902
902,835
835,1002
1002,492
492,331
331,251
251,937
937,895
895,1002
1002,651
651,489
489,519
519,333
333,925
925,1002
1002,736
736,948
948,984
984,764
764,464
464,1002
1002,123
123,995
995,449
449,536
536,718
718,1002
1003,18
18,200
200,58
58,361
361,791
791,1003
1003,161
161,798
798,953
953,263
263,395
395,1003
1003,133
133,607
607,654
654,144
144,917
917,1003
1003,483
483,306
306,927
927,908
908,52
52,1003
1003,184
184,81
81,887
887,304
304,539
539,1003
1003,882
882,590
590,439
439,562
562,62
62,1003
1003,44
44,618
618,324
324,527
527,582
582,1003
1003,555
555,542
542,958
958,383
383,634
634,1003
1003,143
143,53
53,750
750,716
716,496
496,1003
1003,993
993,461
461,962
962,865
865,382
382,1003
1003,427
427,1003
1003,453
453,130
130,138
138,769
769,857
857,1003
1003,9
9,280
280,73
73,356
356,766
766,1003
1004,314
314,689
689,353
353,235
235,377
377,1004
1004,557
557,337
337,23
23,957
957,903
903,1004
1004,959
959,758
758,170
170,733
733,443
443,1004
1004,350
350,37
37,867
867,643
643,601
601,1004
1004,801
801,849
849,596
596,279
279,686
686,1004
1004,198
198,969
969,955
955,145
145,941
941,1004
1004,814
814,717
717,715
715,678
678,932
932,1004
1004,797
797,487
487,784
784,265
265,537
537,1004
1004,447
447,919
919,49
49,523
523,687
687,1004
1004,767
767,922
922,495
495,652
652,809
809,1004
1004,317
317,421
421,407
407,600
600,569
569,1004
1004,76
76,323
323,51
51,792
792,778
778,1004
1005,285
285,166
166,510
510,482
482,738
738,1005
1005,924
924,27
27,321
321,67
67,83
83,1005
1005,682
682,289
289,746
746,441
441,723
723,1005
1005,830
830,217
217,855
855,656
656,592
592,1005
1005,349
349,305
305,171
171,522
522,104
104,1005
1005,856
856,236
236,968
968,661
661,926
926,1005
1005,287
287,722
722,336
336,990
990,751
751,1005
1005,45
45,417
417,318
318,370
370,456
456,1005
1005,782
782,905
905,213
213,568
568,599
599,1005
1005,920
920,545
545,116
116,266
266,430
430,1005
1005,640
640,94
94,695
695,103
103,511
511,1005
1005,931
931,140
140,714
714,351
351,4
4,1005
1006,946
946,196
196,976
976,691
691,517
517,1006
1006,79
79,452
452,262
262,513
513,229
229,1006
1006,151
151,211
211,598
598,311
311,732
732,1006
1006,934
934,747
747,282
282,901
901,807
807,1006
1006,322
322,47
47,190
190,344
344,988
988,1006
1006,514
514,72
72,409
409,983
983,583
583,1006
1006,702
702,994
994,472
472,675
675,605
605,1006
1006,698
698,755
755,772
772,88
88,188
188,1006
1006,183
183,877
877,258
258,165
165,329
329,1006
1006,106
106,97
97,180
180,874
874,839
839,1006
1006,520
520,659
659,548
548,193
193,584
584,1006
1006,29
29,563
563,127
127,642
642,508
508,1006
1006,724
724,341
341,92
92,628
628,87
87,1006
