StartNode,EndNode
501,98
98,33
33,45
45,347
347,470
470,501
501,189
189,185
185,428
428,372
372,227
227,501
501,328
328,105
105,214
214,232
232,274
274,501
501,413
413,501
501,315
315,169
169,217
217,46
46,13
13,501
501,104
104,207
207,160
160,63
63,277
277,501
502,224
224,125
125,161
161,343
343,334
334,502
502,131
131,24
24,129
129,186
186,68
68,502
502,400
400,463
463,447
447,490
490,112
112,502
502,254
254,416
416,130
130,140
140,469
469,502
502,393
393,196
196,225
225,391
391,476
476,502
502,66
66,27
27,392
392,458
458,363
363,502
502,155
155,344
344,2
2,218
218,460
460,502
503,269
269,452
452,175
175,162
162,408
408,503
503,312
312,48
48,42
42,325
325,314
314,503
503,310
310,357
357,478
478,21
21,127
127,503
503,258
258,484
484,228
228,445
445,211
211,503
503,272
272,56
56,172
172,503
503,355
355,242
242,187
187,281
281,350
350,503
504,303
303,210
210,285
285,94
94,203
203,504
504,365
365,253
253,385
385,487
487,374
374,504
504,231
231,398
398,313
313,316
316,306
306,504
504,367
367,504
504,294
294,173
173,239
239,136
136,88
88,504
504,464
464,473
473,496
496,291
291,32
32,504
