StartNode,EndNode
1001,855
855,1001
1001,711
711,1001
1001,876
876,1001
1001,175
175,1001
1001,132
132,1001
1001,602
602,1001
1001,59
59,1001
1001,109
109,1001
1001,597
597,1001
1001,897
897,1001
1001,575
575,1001
1001,34
34,1001
1001,197
197,1001
1002,241
241,1002
1002,251
251,1002
1002,298
298,1002
1002,470
470,1002
1002,434
434,1002
1002,895
895,1002
1002,65
65,1002
1002,841
841,1002
1002,429
429,1002
1002,247
247,1002
1002,99
99,1002
1002,631
631,1002
1002,163
163,1002
1002,999
999,1002
1002,512
512,1002
1002,30
30,1002
1002,761
761,1002
1002,742
742,1002
1002,879
879,1002
1003,719
719,1003
1003,552
552,1003
1003,653
653,1003
1003,979
979,1003
1003,161
161,1003
1003,825
825,1003
1003,838
838,1003
1003,933
933,1003
1003,780
780,1003
1003,60
60,1003
1003,345
345,1003
1003,9
9,1003
1003,172
172,1003
1003,280
280,1003
1003,436
436,1003
1004,525
525,1004
1004,371
371,1004
1004,613
613,1004
1004,367
367,1004
1004,89
89,1004
1004,809
809,1004
1004,274
274,1004
1004,513
513,1004
1004,468
468,1004
1004,916
916,1004
1004,558
558,1004
1004,335
335,1004
1004,972
972,1004
1004,724
724,1004
1004,706
706,1004
1004,680
680,1004
1004,785
785,1004
1005,215
215,1005
1005,804
804,1005
1005,787
787,1005
1005,578
578,1005
1005,128
128,1005
1005,465
465,1005
1005,234
234,1005
1005,824
824,1005
1005,100
100,1005
1005,920
920,1005
1005,378
378,1005
1005,50
50,1005
1005,330
330,1005
1005,295
295,1005
1006,850
850,1006
1006,906
906,1006
1006,121
121,1006
1006,543
543,1006
1006,609
609,1006
1006,183
183,1006
1006,739
739,1006
1006,923
923,1006
1006,288
288,1006
1006,80
80,1006
1006,666
666,1006
1006,255
255,1006
1006,845
845,1006
1006,107
107,1006
1006,675
675,1006
1006,484
484,1006
1006,731
731,1006
1006,296
296,1006
1006,340
340,1006
1006,577
577,1006
