StartNode,EndNode
501,176
176,138
138,166
166,87
87,134
134,501
501,207
207,85
85,349
349,126
126,232
232,501
501,333
333,344
344,418
418,142
142,225
225,501
501,39
39,398
398,363
363,130
130,273
273,501
501,205
205,350
350,379
379,245
245,428
428,501
502,100
100,192
192,269
269,48
48,95
95,502
502,202
202,122
122,301
301,243
243,204
204,502
502,354
354,361
361,438
438,483
483,1
1,502
502,313
313,463
463,406
406,163
163,367
367,502
502,307
307,396
396,153
153,300
300,491
491,502
502,82
82,399
399,502
503,477
477,348
348,105
105,405
405,466
466,503
503,299
299,171
171,168
168,272
272,271
271,503
503,317
317,286
286,356
356,381
381,40
40,503
503,360
360,91
91,28
28,43
43,305
305,503
503,471
471,41
41,76
76,238
238,125
125,503
503,120
120,287
287,281
281,306
306,231
231,503
504,425
425,468
468,45
45,321
321,270
270,504
504,118
118,167
167,228
228,150
150,112
112,504
504,451
451,79
79,94
94,88
88,260
260,504
504,74
74,352
352,475
475,498
498,215
215,504
504,151
151,5
5,297
297,108
108,432
432,504
504,277
277,256
256,365
365,145
145,419
419,504
504,411
411,159
159,385
385,492
492,33
33,504
