Gap_Full,Gap_NoLO,Gap_NoSwap,Gap_NoFull
1.06,55.26,0.00,27.33
0.37,41.41,0.00,32.59
6.13,25.07,0.00,26.23
0.00,16.53,6.43,3.41
0.00,15.19,3.90,10.63
0.95,50.77,0.00,30.94
0.00,13.34,12.83,18.43
8.26,7.86,0.00,11.32
0.00,26.67,9.65,20.12
0.00,24.85,2.16,14.27
4.03,12.53,0.00,15.91
0.00,6.46,2.62,0.00
2.91,22.14,0.00,5.71
2.90,13.24,0.00,4.31
0.00,11.93,0.55,2.10
0.00,12.35,3.00,0.00
3.00,7.27,0.00,3.00
0.00,14.81,4.55,6.32
0.00,10.99,1.82,2.74
0.00,8.00,1.16,2.14
4.13,12.29,0.00,4.13
0.00,13.13,4.34,0.84
0.00,11.48,0.82,0.16
