StartNode,EndNode
250,174
174,143
143,14
14,250
250,98
98,240
240,107
107,250
250,134
134,159
159,147
147,250
250,37
37,171
171,92
92,250
250,111
111,196
196,250
251,175
175,176
176,136
136,251
251,38
38,242
242,56
56,251
251,122
122,43
43,223
223,251
251,40
40,127
127,24
24,251
251,62
62,16
16,226
226,251
252,46
46,212
212,239
239,252
252,34
34,188
188,95
95,252
252,164
164,140
140,246
246,252
252,74
74,104
104,152
152,252
253,173
173,253
253,228
228,53
53,124
124,253
253,198
198,73
73,213
213,253
253,195
195,2
2,217
217,253
253,230
230,248
248,114
114,253
253,125
125,224
224,204
204,253
254,145
145,115
115,209
209,254
254,138
138,21
21,186
186,254
254,130
130,129
129,90
90,254
254,81
81,231
231,211
211,254
