StartNode,EndNode
241,8
8,241
241,13
13,241
241,23
23,241
241,22
22,241
241,7
7,241
241,30
30,241
241,156
156,241
241,158
158,241
241,21
21,241
241,20
20,241
242,50
50,242
242,55
55,242
242,63
63,242
242,71
71,242
242,58
58,242
242,70
70,242
242,78
78,242
242,62
62,242
242,64
64,242
242,47
47,242
243,87
87,243
243,95
95,243
243,114
114,243
243,105
105,243
243,113
113,243
243,99
99,243
243,107
107,243
243,109
109,243
244,126
126,244
244,136
136,244
244,149
149,244
244,142
142,244
244,138
138,244
244,146
146,244
244,154
154,244
244,144
144,244
244,150
150,244
245,165
165,245
245,174
174,245
245,162
162,245
245,182
182,245
245,169
169,245
245,177
177,245
245,196
196,245
245,198
198,245
245,192
192,245
246,34
34,246
246,214
214,246
246,222
222,246
246,236
236,246
246,229
229,246
246,232
232,246
246,224
224,246
246,228
228,246
