StartNode,EndNode
161,4
4,12
12,20
20,28
28,36
36,14
14,161
161,15
15,23
23,31
31,39
39,24
24,16
16,161
161,3
3,21
21,13
13,8
8,7
7,6
6,161
162,41
41,49
49,57
57,44
44,48
48,56
56,162
162,50
50,58
58,66
66,74
74,51
51,43
43,162
162,47
47,55
55,63
63,71
71,79
79,54
54,162
163,85
85,93
93,101
101,99
99,91
91,83
83,163
163,94
94,102
102,110
110,119
119,111
111,95
95,163
163,86
86,87
87,88
88,163
163,82
82,90
90,81
81,100
100,92
92,84
84,163
164,123
123,130
130,122
122,164
164,121
121,132
132,126
126,164
164,131
131,139
139,147
147,157
157,149
149,125
125,164
164,136
136,144
144,151
151,143
143,135
135,127
127,164
