StartNode,EndNode
361,1
1,4
4,6
6,7
7,361
361,5
5,3
3,10
10,18
18,26
26,361
361,12
12,9
9,361
361,13
13,21
21,29
29,37
37,11
11,361
361,15
15,23
23,361
362,41
41,44
44,46
46,47
47,48
48,362
362,52
52,60
60,68
68,76
76,49
49,362
362,53
53,61
61,69
69,77
77,56
56,362
362,55
55,63
63,71
71,79
79,54
54,362
363,82
82,81
81,84
84,363
363,85
85,83
83,363
363,87
87,88
88,93
93,101
101,109
109,91
91,363
363,95
95,103
103,111
111,119
119,94
94,363
363,96
96,104
104,363
364,122
122,121
121,124
124,126
126,132
132,140
140,364
364,125
125,123
123,364
364,128
128,133
133,141
141,149
149,157
157,136
136,364
364,135
135,143
143,151
151,159
159,114
114,364
365,166
166,167
167,168
168,365
365,165
165,163
163,170
170,365
365,172
172,180
180,188
188,196
196,169
169,365
365,175
175,183
183,191
191,182
182,174
174,365
365,181
181,189
189,365
366,202
202,201
201,204
204,206
206,207
207,208
208,366
366,205
205,203
203,210
210,366
366,212
212,220
220,228
228,236
236,209
209,366
366,225
225,366
367,245
245,243
243,367
367,247
247,246
246,252
252,260
260,268
268,276
276,367
367,241
241,367
367,248
248,253
253,261
261,269
269,277
277,256
256,367
367,255
255,263
263,367
368,282
282,281
281,284
284,286
286,287
287,368
368,292
292,300
300,308
308,368
368,293
293,301
301,309
309,291
291,368
368,295
295,303
303,311
311,319
319,294
294,302
302,368
369,322
322,323
323,330
330,338
338,346
346,354
354,369
369,324
324,326
326,327
327,328
328,333
333,341
341,369
369,332
332,340
340,348
348,356
356,329
329,369
369,335
335,343
343,369
