StartNode,EndNode
250,120
120,250
250,22
22,250
250,47
47,250
250,37
37,250
250,45
45,250
250,16
16,250
250,212
212,250
250,55
55,250
250,60
60,250
250,44
44,250
251,170
170,251
251,114
114,251
251,96
96,251
251,153
153,251
251,248
248,251
251,121
121,251
251,213
213,251
251,189
189,251
251,106
106,251
251,53
53,251
251,65
65,251
251,228
228,251
251,11
11,251
251,214
214,251
251,57
57,251
252,221
221,252
252,33
33,252
252,149
149,252
252,232
232,252
252,155
155,252
252,200
200,252
252,7
7,252
252,1
1,252
252,116
116,252
252,28
28,252
