StartNode,EndNode
250,233
233,250
250,178
178,250
250,92
92,250
250,107
107,250
250,199
199,250
250,105
105,250
250,147
147,250
250,159
159,250
250,158
158,250
251,242
242,251
251,225
225,251
251,47
47,251
251,56
56,251
251,201
201,251
251,243
243,251
251,13
13,251
251,167
167,251
251,114
114,251
251,59
59,251
251,66
66,251
252,124
124,252
252,217
217,252
252,33
33,252
252,31
31,252
252,229
229,252
252,205
205,252
252,9
9,252
252,65
65,252
253,188
188,253
253,154
154,253
253,81
81,253
253,155
155,253
253,247
247,253
253,35
35,253
253,160
160,253
253,87
87,253
253,94
94,253
253,232
232,253
