StartNode,EndNode
361,14
14,74
74,39
39,23
23,15
15,7
7,361
361,24
24,32
32,40
40,75
75,158
158,11
11,361
362,41
41,49
49,65
65,73
73,68
68,60
60,362
362,48
48,56
56,64
64,72
72,80
80,59
59,362
363,96
96,104
104,112
112,120
120,103
103,95
95,363
363,83
83,91
91,99
99,107
107,115
115,82
82,363
364,123
123,131
131,139
139,147
147,155
155,157
157,364
364,129
129,137
137,145
145,153
153,156
156,148
148,364
365,184
184,192
192,195
195,187
187,179
179,163
163,365
365,161
161,169
169,177
177,185
185,193
193,365
366,202
202,366
366,228
228,236
236,238
238,230
230,214
214,206
206,366
366,35
35,198
198,240
240,232
232,224
224,208
208,366
367,241
241,367
367,243
243,251
251,259
259,267
267,275
275,233
233,367
367,277
277,280
280,272
272,264
264,256
256,248
248,367
368,283
283,307
307,315
315,305
305,297
297,289
289,368
368,288
288,296
296,304
304,312
312,320
320,368
369,323
323,331
331,339
339,347
347,355
355,322
322,369
369,348
348,356
356,353
353,318
318,345
345,337
337,369
