StartNode,EndNode
250,124
124,250
250,19
19,250
250,10
10,250
250,238
238,250
250,153
153,250
250,242
242,250
250,83
83,250
250,230
230,250
250,213
213,250
250,203
203,250
250,173
173,250
250,217
217,250
250,54
54,250
250,112
112,250
250,27
27,250
250,198
198,250
250,73
73,250
250,204
204,250
250,195
195,250
250,125
125,250
250,64
64,250
250,1
1,250
250,115
115,250
250,185
185,250
250,118
118,250
251,34
34,251
251,16
16,251
251,77
77,251
251,45
45,251
251,222
222,251
251,144
144,251
251,116
116,251
251,126
126,251
251,156
156,251
251,37
37,251
251,160
160,251
251,179
179,251
251,141
141,251
251,63
63,251
251,180
180,251
251,44
44,251
251,25
25,251
251,200
200,251
251,152
152,251
251,246
246,251
251,199
199,251
251,208
208,251
251,47
47,251
251,86
86,251
251,119
119,251
251,14
14,251
251,192
192,251
251,6
6,251
251,174
174,251
