StartNode,EndNode
361,16
16,24
24,32
32,31
31,23
23,7
7,361
361,2
2,10
10,18
18,3
3,361
361,1
1,9
9,17
17,25
25,33
33,4
4,361
362,43
43,51
51,59
59,67
67,40
40,113
113,362
362,69
69,77
77,118
118,80
80,72
72,47
47,362
363,83
83,91
91,99
99,107
107,117
117,109
109,363
363,88
88,101
101,93
93,85
85,363
363,95
95,103
103,111
111,119
119,94
94,86
86,363
364,121
121,129
129,137
137,140
140,132
132,124
124,364
364,127
127,143
143,152
152,160
160,155
155,147
147,364
365,166
166,174
174,191
191,183
183,175
175,168
168,365
365,185
185,193
193,194
194,195
195,187
187,163
163,365
366,206
206,214
214,239
239,231
231,223
223,207
207,366
366,211
211,219
219,235
235,233
233,225
225,217
217,366
367,241
241,249
249,257
257,252
252,244
244,247
247,367
367,264
264,272
272,280
280,277
277,275
275,267
267,367
368,290
290,298
298,314
314,306
306,282
282,368
368,296
296,304
304,312
312,320
320,38
38,317
317,368
368,285
285,293
293,288
288,295
295,287
287,368
369,321
321,329
329,330
330,331
331,323
323,325
325,369
369,328
328,352
352,360
360,78
78,355
355,347
347,369
