StartNode,EndNode
1001,423
423,1001
1001,985
985,1001
1001,169
169,1001
1001,621
621,1001
1001,971
971,1001
1001,483
483,1001
1001,76
76,1001
1001,153
153,1001
1001,797
797,1001
1001,179
179,1001
1001,79
79,1001
1001,89
89,1001
1001,503
503,1001
1001,354
354,1001
1001,422
422,1001
1001,233
233,1001
1001,390
390,1001
1001,835
835,1001
1001,674
674,1001
1001,963
963,1001
1001,141
141,1001
1001,707
707,1001
1001,241
241,1001
1001,989
989,1001
1001,718
718,1001
1001,399
399,1001
1001,720
720,1001
1001,109
109,1001
1001,962
962,1001
1001,994
994,1001
1001,883
883,1001
1001,11
11,1001
1001,462
462,1001
1001,670
670,1001
1002,251
251,1002
1002,311
311,1002
1002,410
410,1002
1002,137
137,1002
1002,700
700,1002
1002,582
582,1002
1002,252
252,1002
1002,72
72,1002
1002,127
127,1002
1002,39
39,1002
1002,256
256,1002
1002,234
234,1002
1002,294
294,1002
1002,383
383,1002
1002,993
993,1002
1002,373
373,1002
1002,416
416,1002
1002,630
630,1002
1002,673
673,1002
1002,13
13,1002
1002,536
536,1002
1002,36
36,1002
1002,515
515,1002
1002,760
760,1002
1002,733
733,1002
1002,801
801,1002
1002,868
868,1002
1002,695
695,1002
1002,176
176,1002
1002,668
668,1002
1002,25
25,1002
1002,409
409,1002
1002,789
789,1002
1002,626
626,1002
1002,330
330,1002
1002,315
315,1002
1002,551
551,1002
1002,909
909,1002
1003,306
306,1003
1003,32
32,1003
1003,296
296,1003
1003,882
882,1003
1003,951
951,1003
1003,246
246,1003
1003,676
676,1003
1003,705
705,1003
1003,110
110,1003
1003,639
639,1003
1003,379
379,1003
1003,289
289,1003
1003,263
263,1003
1003,936
936,1003
1003,532
532,1003
1003,41
41,1003
1003,613
613,1003
1003,430
430,1003
1003,459
459,1003
1003,511
511,1003
1003,463
463,1003
1003,196
196,1003
1003,808
808,1003
1003,461
461,1003
1003,741
741,1003
1003,594
594,1003
1003,873
873,1003
1003,595
595,1003
1003,947
947,1003
1003,325
325,1003
1003,804
804,1003
1003,591
591,1003
1003,491
491,1003
1003,915
915,1003
1003,527
527,1003
1003,395
395,1003
1003,831
831,1003
1003,774
774,1003
1003,998
998,1003
1004,983
983,1004
1004,281
281,1004
1004,243
243,1004
1004,625
625,1004
1004,598
598,1004
1004,10
10,1004
1004,975
975,1004
1004,305
305,1004
1004,507
507,1004
1004,250
250,1004
1004,599
599,1004
1004,596
596,1004
1004,83
83,1004
1004,938
938,1004
1004,370
370,1004
1004,722
722,1004
1004,997
997,1004
1004,534
534,1004
1004,172
172,1004
1004,995
995,1004
1004,469
469,1004
1004,867
867,1004
1004,767
767,1004
1004,270
270,1004
1004,871
871,1004
1004,849
849,1004
1004,87
87,1004
1004,421
421,1004
1004,730
730,1004
1004,456
456,1004
1004,657
657,1004
1004,200
200,1004
1004,287
287,1004
