StartNode,EndNode
1001,620
620,1001
1001,35
35,1001
1001,59
59,1001
1001,757
757,1001
1001,469
469,1001
1001,574
574,1001
1001,132
132,1001
1001,369
369,1001
1001,629
629,1001
1001,102
102,1001
1001,109
109,1001
1001,597
597,1001
1001,897
897,1001
1001,575
575,1001
1001,34
34,1001
1001,197
197,1001
1002,504
504,1002
1002,245
245,1002
1002,494
494,1002
1002,573
573,1002
1002,841
841,1002
1002,886
886,1002
1002,663
663,1002
1002,223
223,1002
1002,614
614,1002
1002,631
631,1002
1002,512
512,1002
1002,30
30,1002
1002,123
123,1002
1002,464
464,1002
1002,884
884,1002
1002,761
761,1002
1002,742
742,1002
1002,879
879,1002
1003,697
697,1003
1003,7
7,1003
1003,252
252,1003
1003,831
831,1003
1003,786
786,1003
1003,39
39,1003
1003,33
33,1003
1003,115
115,1003
1003,365
365,1003
1003,780
780,1003
1003,60
60,1003
1003,345
345,1003
1003,9
9,1003
1003,172
172,1003
1003,280
280,1003
1003,436
436,1003
1004,525
525,1004
1004,506
506,1004
1004,474
474,1004
1004,468
468,1004
1004,265
265,1004
1004,86
86,1004
1004,392
392,1004
1004,601
601,1004
1004,809
809,1004
1004,523
523,1004
1004,729
729,1004
1004,371
371,1004
1004,896
896,1004
1004,29
29,1004
1004,569
569,1004
1004,972
972,1004
1004,724
724,1004
1004,680
680,1004
1004,785
785,1004
1005,855
855,1005
1005,945
945,1005
1005,28
28,1005
1005,319
319,1005
1005,552
552,1005
1005,234
234,1005
1005,90
90,1005
1005,829
829,1005
1005,964
964,1005
1005,920
920,1005
1005,367
367,1005
1005,378
378,1005
1005,50
50,1005
1005,330
330,1005
1005,295
295,1005
1006,360
360,1006
1006,40
40,1006
1006,517
517,1006
1006,992
992,1006
1006,293
293,1006
1006,141
141,1006
1006,288
288,1006
1006,107
107,1006
1006,731
731,1006
1006,624
624,1006
1006,296
296,1006
1006,577
577,1006
