StartNode,EndNode
501,73
73,501
501,276
276,501
501,157
157,501
501,31
31,501
501,488
488,501
501,443
443,501
501,388
388,501
501,20
20,501
502,280
280,502
502,447
447,502
502,72
72,502
502,322
322,502
502,267
267,502
502,325
325,502
502,191
191,502
502,457
457,502
502,21
21,502
503,266
266,503
503,444
444,503
503,9
9,503
503,367
367,503
503,263
263,503
503,107
107,503
503,309
309,503
503,364
364,503
503,394
394,503
504,113
113,504
504,54
54,504
504,90
90,504
504,330
330,504
504,437
437,504
504,464
464,504
504,438
438,504
504,491
491,504
504,119
119,504
504,91
91,504
505,291
291,505
505,481
481,505
505,390
390,505
505,315
315,505
505,227
227,505
505,277
277,505
505,196
196,505
505,369
369,505
505,117
117,505
