StartNode,EndNode
1001,248
248,891
891,854
854,880
880,636
636,671
671,122
122,907
907,220
220,455
455,547
547,528
528,55
55,327
327,971
971,368
368,912
912,639
639,743
743,823
823,974
974,177
177,35
35,873
873,388
388,225
225,253
253,176
176,112
112,437
437,85
85,796
796,660
660,300
300,77
77,393
393,249
249,688
688,904
904,534
534,366
366,463
463,239
239,581
581,19
19,816
816,1
1,762
762,773
773,31
31,712
712,819
819,209
209,181
181,499
499,985
985,359
359,256
256,721
721,977
977,500
500,637
637,20
20,705
705,860
860,679
679,290
290,711
711,516
516,467
467,502
502,155
155,668
668,1001
1001,559
559,846
846,881
881,227
227,372
372,59
59,201
201,783
783,540
540,998
998,808
808,629
629,863
863,175
175,281
281,657
657,12
12,768
768,843
843,878
878,603
603,332
332,915
915,41
41,32
32,416
416,71
71,54
54,868
868,669
669,476
476,650
650,307
307,973
973,770
770,951
951,503
503,683
683,243
243,899
899,460
460,1001
1002,470
470,710
710,696
696,402
402,237
237,649
649,509
509,82
82,408
408,401
401,700
700,149
149,475
475,970
970,658
658,162
162,493
493,142
142,384
384,501
501,420
420,709
709,457
457,57
57,139
139,451
451,644
644,13
13,662
662,125
125,391
391,208
208,5
5,794
794,226
226,847
847,245
245,481
481,170
170,733
733,443
443,898
898,477
477,550
550,760
760,64
64,685
685,89
89,975
975,191
191,902
902,835
835,918
918,833
833,692
692,68
68,619
619,404
404,206
206,631
631,697
697,70
70,120
120,982
982,491
491,546
546,39
39,412
412,14
14,831
831,908
908,927
927,627
627,674
674,673
673,646
646,832
832,294
294,589
589,247
247,888
888,911
911,947
947,740
740,301
301,858
858,108
108,65
65,492
492,331
331,1002
1002,434
434,277
277,105
105,805
805,606
606,473
473,114
114,406
406,799
799,308
308,573
573,438
438,929
929,22
22,192
192,725
725,963
963,257
257,380
380,251
251,1002
1003,719
719,117
117,405
405,143
143,53
53,750
750,716
716,496
496,821
821,518
518,726
726,804
804,926
926,215
215,232
232,950
950,218
218,986
986,315
315,882
882,590
590,439
439,562
562,62
62,561
561,748
748,187
187,161
161,798
798,395
395,390
390,1000
1000,263
263,953
953,595
595,693
693,991
991,93
93,25
25,342
342,479
479,730
730,553
553,432
432,576
576,18
18,200
200,58
58,361
361,133
133,791
791,607
607,184
184,921
921,81
81,887
887,304
304,917
917,144
144,654
654,728
728,15
15,7
7,933
933,189
189,119
119,207
207,838
838,670
670,394
394,6
6,261
261,186
186,555
555,542
542,958
958,383
383,634
634,539
539,44
44,618
618,324
324,483
483,222
222,527
527,69
69,111
111,1003
1003,626
626,352
352,276
276,134
134,862
862,720
720,754
754,625
625,284
284,173
173,389
389,135
135,737
737,653
653,450
450,152
152,566
566,837
837,859
859,355
355,365
365,374
374,864
864,752
752,825
825,283
283,309
309,269
269,672
672,962
962,865
865,382
382,461
461,993
993,339
339,610
610,1003
1004,686
686,279
279,806
806,328
328,204
204,529
529,231
231,815
815,278
278,131
131,652
652,495
495,922
922,932
932,11
11,198
198,969
969,955
955,145
145,435
435,195
195,377
377,235
235,353
353,916
916,741
741,228
228,259
259,291
291,612
612,960
960,387
387,485
485,745
745,478
478,954
954,572
572,312
312,795
795,779
779,593
593,23
23,957
957,903
903,337
337,557
557,643
643,867
867,37
37,411
411,797
797,487
487,784
784,677
677,1004
1004,928
928,3
3,63
63,447
447,49
49,919
919,687
687,689
689,314
314,896
896,964
964,738
738,856
856,236
236,968
968,285
285,166
166,510
510,482
482,556
556,490
490,554
554,480
480,892
892,10
10,433
433,364
364,771
771,362
362,701
701,567
567,980
980,981
981,246
246,1004
1005,872
872,661
661,944
944,676
676,592
592,656
656,855
855,830
830,418
418,194
194,313
313,46
46,549
549,665
665,21
21,422
422,233
233,615
615,753
753,488
488,822
822,611
611,616
616,325
325,690
690,703
703,104
104,522
522,171
171,875
875,48
48,185
185,812
812,24
24,870
870,400
400,240
240,828
828,16
16,943
943,376
376,8
8,938
938,641
641,137
137,440
440,997
997,238
238,793
793,254
254,462
462,515
515,551
551,836
836,147
147,318
318,244
244,45
45,586
586,1005
1005,417
417,456
456,746
746,441
441,83
83,159
159,622
622,560
560,617
617,2
2,883
883,684
684,425
425,775
775,763
763,827
827,952
952,989
989,844
844,471
471,148
148,310
310,599
599,568
568,213
213,905
905,782
782,588
588,552
552,250
250,621
621,17
17,431
431,128
128,415
415,945
945,28
28,219
219,205
205,56
56,585
585,234
234,890
890,538
538,272
272,533
533,924
924,27
27,321
321,67
67,289
289,682
682,370
370,1005
1006,923
923,183
183,329
329,151
151,211
211,598
598,311
311,732
732,934
934,747
747,282
282,901
901,807
807,514
514,72
72,409
409,983
983,583
583,535
535,570
570,893
893,842
842,909
909,507
507,386
386,459
459,74
74,834
834,852
852,426
426,419
419,702
702,994
994,472
472,675
675,605
605,153
153,446
446,385
385,845
845,966
966,334
334,531
531,521
521,136
136,292
292,811
811,410
410,571
571,396
396,80
80,110
110,541
541,987
987,694
694,160
160,765
765,36
36,373
373,655
655,635
635,363
363,853
853,360
360,320
320,889
889,530
530,579
579,1006
1006,78
78,866
866,776
776,543
543,698
698,633
633,755
755,772
772,88
88,188
188,79
79,513
513,229
229,946
946,196
196,976
976,691
691,517
517,203
203,871
871,40
40,414
414,800
800,43
43,790
790,565
565,608
608,167
167,735
735,734
734,273
273,638
638,397
397,486
486,358
358,814
814,667
667,678
678,717
717,262
262,452
452,759
759,840
840,392
392,357
357,558
558,587
587,1006
