StartNode,EndNode
501,63
63,185
185,372
372,227
227,104
104,501
501,347
347,395
395,45
45,33
33,98
98,501
501,428
428,95
95,413
413,316
316,438
438,501
501,118
118,172
172,46
46,340
340,13
13,501
501,207
207,390
390,277
277,501
502,183
183,502
502,138
138,112
112,369
369,396
396,161
161,502
502,107
107,260
260,10
10,235
235,448
448,502
502,159
159,298
298,338
338,391
391,476
476,502
502,130
130,416
416,155
155,254
254,469
469,502
502,460
460,17
17,218
218,343
343,178
178,502
502,344
344,313
313,217
217,82
82,2
2,502
503,366
366,456
456,407
407,151
151,449
449,503
503,425
425,97
97,284
284,350
350,503
503,258
258,127
127,272
272,56
56,497
497,503
503,484
484,228
228,211
211,445
445,184
184,503
503,239
239,173
173,89
89,293
293,367
367,503
503,281
281,355
355,242
242,187
187,175
175,503
504,18
18,504
504,374
374,365
365,253
253,385
385,487
487,504
504,431
431,156
156,493
493,16
16,241
241,504
504,132
132,427
427,474
474,315
315,169
169,504
504,40
40,88
88,262
262,294
294,304
304,504
504,464
464,473
473,496
496,291
291,32
32,504
