StartNode,EndNode
1001,243
243,683
683,574
574,645
645,951
951,1001
1001,119
119,200
200,18
18,58
58,361
361,1001
1001,32
32,930
930,375
375,810
810,757
757,1001
1001,973
973,770
770,359
359,466
466,876
876,1001
1001,270
270,109
109,935
935,597
597,303
303,1001
1001,817
817,749
749,61
61,897
897,713
713,1001
1001,424
424,996
996,744
744,885
885,544
544,1001
1002,84
84,169
169,101
101,961
961,297
297,1002
1002,223
223,301
301,858
858,740
740,947
947,1002
1002,299
299,326
326,221
221,182
182,241
241,1002
1002,91
91,42
42,914
914,444
444,66
66,1002
1002,557
557,643
643,867
867,841
841,429
429,1002
1002,333
333,519
519,489
489,651
651,1002
1002,999
999,764
764,736
736,948
948,984
984,1002
1002,123
123,995
995,449
449,536
536,718
718,1002
1003,309
309,283
283,252
252,672
672,786
786,1003
1003,383
383,634
634,199
199,939
939,498
498,1003
1003,316
316,275
275,133
133,791
791,184
184,1003
1003,138
138,769
769,780
780,317
317,73
73,1003
1003,427
427,345
345,436
436,857
857,766
766,1003
1004,265
265,537
537,210
210,913
913,350
350,1004
1004,371
371,86
86,525
525,928
928,3
3,1004
1004,156
156,113
113,942
942,202
202,526
526,1004
1004,959
959,758
758,170
170,481
481,614
614,1004
1004,421
421,76
76,1004
1004,600
600,569
569,785
785,792
792,778
778,1004
1005,986
986,315
315,518
518,821
821,882
882,1005
1005,205
205,56
56,585
585,219
219,234
234,1005
1005,844
844,415
415,945
945,319
319,936
936,1005
1005,787
787,630
630,346
346,781
781,128
128,1005
1005,920
920,545
545,116
116,266
266,430
430,1005
1005,640
640,94
94,695
695,103
103,511
511,1005
1005,931
931,140
140,714
714,351
351,4
4,1005
1006,940
940,164
164,423
423,188
188,88
88,1006
1006,10
10,428
428,756
756,848
848,242
242,1006
1006,788
788,96
96,129
129,789
789,158
158,1006
1006,480
480,554
554,458
458,484
484,707
707,1006
1006,548
548,1006
1006,193
193,584
584,659
659,520
520,624
624,1006
1006,29
29,563
563,127
127,642
642,51
51,1006
1006,724
724,341
341,92
92,628
628,87
87,1006
