StartNode,EndNode
250,60
60,169
169,181
181,243
243,6
6,212
212,77
77,91
91,46
46,216
216,126
126,116
116,67
67,51
51,134
134,158
158,159
159,247
247,250
251,102
102,15
15,52
52,75
75,162
162,226
226,32
32,78
78,201
201,147
147,127
127,40
40,17
17,175
175,10
10,249
249,237
237,177
177,224
224,163
163,64
64,125
125,193
193,101
101,148
148,26
26,153
153,248
248,121
121,89
89,167
167,13
13,146
146,135
135,84
84,16
16,3
3,118
118,190
190,251
252,112
112,213
213,8
8,72
72,33
33,170
170,230
230,58
58,183
183,150
150,36
36,220
220,189
189,106
106,205
205,31
31,229
229,252
253,144
144,119
119,245
245,151
151,86
86,149
149,152
152,208
208,141
141,104
104,74
74,215
215,209
209,99
99,155
155,76
76,4
4,234
234,68
68,142
142,231
231,202
202,139
139,253
