StartNode,EndNode
501,22
22,287
287,434
434,501
501,449
449,412
412,71
71,501
501,229
229,24
24,275
275,501
501,374
374,226
226,3
3,501
501,301
301,172
172,358
358,501
501,77
77,380
380,220
220,501
501,132
132,67
67,136
136,501
501,15
15,144
144,187
187,501
501,247
247,104
104,501
501,454
454,175
175,463
463,501
502,445
445,379
379,201
201,502
502,293
293,18
18,480
480,502
502,439
439,453
453,194
194,502
502,375
375,381
381,493
493,502
502,461
461,133
133,215
215,502
502,88
88,469
469,70
70,502
502,27
27,399
399,103
103,502
502,217
217,30
30,37
37,502
502,280
280,307
307,355
355,502
502,125
125,502
502,137
137,191
191,271
271,502
502,283
283,1
1,368
368,502
503,234
234,39
39,6
6,503
503,192
192,304
304,40
40,503
503,32
32,316
316,209
209,503
503,210
210,334
334,170
170,503
503,462
462,7
7,146
146,503
503,416
416,357
357,159
159,503
503,186
186,422
422,429
429,503
503,486
486,156
156,473
473,503
503,189
189,213
213,193
193,503
503,211
211,475
475,202
202,503
503,25
25,117
117,369
369,503
503,298
298,394
394,409
409,503
504,383
383,109
109,456
456,504
504,347
347,411
411,188
188,504
504,224
224,310
310,458
458,504
504,206
206,45
45,94
94,504
504,395
395,87
87,84
84,504
504,392
392,19
19,447
447,504
504,177
177,90
90,149
149,504
504,417
417,300
300,389
389,504
504,219
219,329
329,64
64,504
504,62
62,246
246,336
336,504
504,110
110,91
91,230
230,504
504,147
147,86
86,96
96,504
505,483
483,257
257,261
261,505
505,145
145,42
42,99
99,505
505,291
291,2
2,481
481,505
505,134
134,505
