StartNode,EndNode
241,19
19,241
241,35
35,241
241,32
32,241
241,17
17,241
241,40
40,241
241,28
28,241
241,39
39,241
242,62
62,242
242,59
59,242
242,67
67,242
242,80
80,242
242,74
74,242
242,75
75,242
242,66
66,242
243,114
114,243
243,113
113,243
243,96
96,243
243,104
104,243
243,112
112,243
243,100
100,243
243,117
117,243
243,109
109,243
244,157
157,244
244,155
155,244
244,129
129,244
244,137
137,244
244,146
146,244
244,153
153,244
244,160
160,244
245,168
168,245
245,163
163,245
245,171
171,245
245,187
187,245
245,169
169,245
245,177
177,245
245,185
185,245
245,192
192,245
245,200
200,245
246,237
237,246
246,232
232,246
246,234
234,246
246,238
238,246
246,233
233,246
246,230
230,246
