StartNode,EndNode
361,2
2,1
1,4
4,6
6,7
7,8
8,361
361,5
5,3
3,10
10,361
361,13
13,21
21,29
29,37
37,11
11,361
361,14
14,22
22,30
30,39
39,31
31,361
362,42
42,41
41,44
44,46
46,47
47,48
48,362
362,45
45,43
43,50
50,58
58,66
66,74
74,362
362,53
53,61
61,69
69,77
77,362
362,55
55,54
54,62
62,362
363,82
82,81
81,84
84,86
86,87
87,363
363,92
92,100
100,108
108,116
116,94
94,363
363,93
93,101
101,109
109,117
117,91
91,363
363,95
95,103
103,111
111,119
119,96
96,363
364,122
122,121
121,124
124,364
364,125
125,123
123,130
130,364
364,133
133,141
141,149
149,131
131,364
364,134
134,143
143,151
151,159
159,136
136,364
364,150
150,364
365,161
161,164
164,365
365,165
165,163
163,365
365,172
172,180
180,188
188,169
169,365
365,173
173,181
181,189
189,197
197,171
171,365
365,175
175,183
183,191
191,199
199,174
174,365
366,202
202,201
201,204
204,206
206,207
207,366
366,205
205,213
213,221
221,229
229,211
211,366
366,210
210,218
218,226
226,234
234,209
209,366
366,212
212,220
220,228
228,236
236,214
214,366
367,244
244,241
241,367
367,245
245,243
243,250
250,258
258,266
266,274
274,367
367,247
247,248
248,367
367,255
255,263
263,271
271,279
279,256
256,367
367,269
269,277
277,367
368,282
282,368
368,295
295,303
303,311
311,368
368,290
290,298
298,306
306,314
314,291
291,293
293,368
368,296
296,304
304,312
312,317
317,309
309,368
369,322
322,321
321,324
324,369
369,325
325,323
323,369
369,333
333,341
341,349
349,331
331,369
369,335
335,343
343,351
351,359
359,336
336,369
369,352
352,369
