StartNode,EndNode
161,32
32,161
161,18
18,161
161,34
34,161
161,22
22,161
161,17
17,161
161,26
26,161
161,11
11,161
161,9
9,161
161,14
14,161
162,53
53,162
162,55
55,162
162,56
56,162
162,76
76,162
162,54
54,162
162,51
51,162
162,50
50,162
162,43
43,162
162,45
45,162
162,47
47,162
162,42
42,162
162,78
78,162
163,87
87,163
163,108
108,163
163,102
102,163
163,93
93,163
163,40
40,163
163,96
96,163
163,94
94,163
163,88
88,163
163,83
83,163
163,85
85,163
163,112
112,163
163,95
95,163
164,148
148,164
164,155
155,164
164,153
153,164
164,144
144,164
164,136
136,164
164,134
134,164
164,131
131,164
164,128
128,164
164,123
123,164
164,126
126,164
164,125
125,164
