StartNode,EndNode
250,6
6,116
116,74
74,215
215,112
112,190
190,8
8,123
123,118
118,3
3,135
135,243
243,169
169,181
181,132
132,97
97,29
29,158
158,60
60,110
110,250
251,42
42,10
10,238
238,225
225,223
223,43
43,122
122,249
249,146
146,84
84,52
52,75
75,59
59,134
134,159
159,127
127,251
252,188
188,160
160,7
7,164
164,140
140,141
141,25
25,208
208,199
199,161
161,93
93,187
187,45
45,107
107,88
88,247
247,86
86,149
149,252
253,69
69,237
237,157
157,82
82,235
235,241
241,11
11,214
214,131
131,57
57,203
203,193
193,101
101,148
148,26
26,9
9,153
153,13
13,167
167,89
89,121
121,106
106,189
189,150
150,65
65,53
53,253
254,138
138,21
21,4
4,115
115,154
154,76
76,155
155,108
108,244
244,99
99,70
70,232
232,71
71,229
229,1
1,139
139,202
202,142
142,68
68,31
31,205
205,79
79,254
