StartNode,EndNode
361,3
3,361
361,7
7,361
361,39
39,361
361,9
9,361
361,17
17,361
361,35
35,361
361,38
38,361
361,40
40,361
362,49
49,362
362,66
66,362
362,74
74,362
362,67
67,362
362,75
75,362
362,65
65,362
362,70
70,362
363,88
88,363
363,106
106,363
363,114
114,363
363,99
99,363
363,107
107,363
363,112
112,363
363,116
116,363
363,115
115,363
364,129
129,364
364,137
137,364
364,153
153,364
364,131
131,364
364,158
158,364
364,160
160,364
364,138
138,364
364,130
130,364
365,167
167,365
365,161
161,365
365,178
178,365
365,186
186,365
365,194
194,365
365,184
184,365
365,192
192,365
365,200
200,365
365,199
199,365
366,201
201,366
366,203
203,366
366,234
234,366
366,207
207,366
366,233
233,366
366,240
240,366
366,235
235,366
366,230
230,366
367,255
255,367
367,244
244,367
367,277
277,367
367,279
279,367
367,280
280,367
367,273
273,367
367,278
278,367
368,317
317,368
368,298
298,368
368,306
306,368
368,314
314,368
368,318
318,368
368,313
313,368
368,312
312,368
369,324
324,369
369,322
322,369
369,354
354,369
369,328
328,369
369,355
355,369
369,360
360,369
369,358
358,369
369,352
352,369
