StartNode,EndNode
250,235
235,249
249,62
62,250
250,195
195,2
2,170
170,250
250,248
248,89
89,13
13,250
250,189
189,106
106,121
121,250
250,33
33,31
31,205
205,250
250,38
38,56
56,242
242,250
250,12
12,1
1,133
133,250
250,226
226,47
47,113
113,250
250,27
27,173
173,185
185,250
250,176
176,219
219,118
118,250
251,74
74,104
104,25
25,251
251,200
200,44
44,199
199,251
251,45
45,212
212,91
91,251
251,98
98,240
240,143
143,251
251,231
231,139
139,202
202,251
251,50
50,86
86,94
94,251
251,119
119,192
192,63
63,251
251,41
41,85
85,6
6,251
251,14
14,174
174,67
67,251
251,187
187,93
93,46
46,251
251,115
115,209
209,7
7,251
