StartNode,EndNode
250,105
105,250
250,48
48,14
14,107
107,250
250,98
98,240
240,117
117,250
250,134
134,51
51,67
67,250
250,141
141,104
104,126
126,250
250,88
88,50
50,128
128,250
250,222
222,85
85,171
171,250
251,201
201,24
24,55
55,251
251,40
40,17
17,9
9,251
251,66
66,131
131,114
114,251
251,59
59,219
219,123
123,251
251,62
62,69
69,225
225,251
252,237
237,8
8,30
30,252
252,65
65,217
217,101
101,252
252,12
12,205
205,31
31,252
252,211
211,71
71,1
1,252
252,166
166,185
185,79
79,252
253,95
95,253
253,182
182,34
34,87
87,253
253,151
151,86
86,149
149,253
253,28
28,74
74,140
140,253
253,244
244,232
232,100
100,253
253,94
94,25
25,172
172,253
