StartNode,EndNode
250,107
107,45
45,161
161,179
179,200
200,22
22,44
44,199
199,25
25,141
141,116
116,6
6,165
165,222
222,105
105,132
132,97
97,29
29,227
227,20
20,109
109,110
110,60
60,158
158,41
41,210
210,178
178,181
181,169
169,243
243,250
251,42
42,10
10,238
238,131
131,214
214,11
11,241
241,225
225,223
223,43
43,122
122,38
38,242
242,15
15,219
219,75
75,59
59,52
52,84
84,146
146,39
39,136
136,134
134,147
147,127
127,159
159,251
252,119
119,188
188,4
4,164
164,7
7,160
160,208
208,77
77,88
88,151
151,94
94,86
86,149
149,247
247,245
245,154
154,76
76,252
253,112
112,8
8,190
190,123
123,118
118,3
3,135
135,237
237,177
177,69
69,249
249,157
157,82
82,235
235,203
203,57
57,193
193,101
101,148
148,26
26,9
9,153
153,89
89,167
167,13
13,121
121,189
189,106
106,36
36,163
163,65
65,53
53,253
254,33
33,234
234,68
68,142
142,232
232,70
70,99
99,108
108,244
244,209
209,145
145,115
115,100
100,172
172,140
140,74
74,215
215,213
213,221
221,130
130,205
205,31
31,71
71,229
229,1
1,139
139,202
202,155
155,254
