StartNode,EndNode
250,92
92,250
250,165
165,6
6,37
37,250
250,200
200,179
179,161
161,250
250,210
210,41
41,110
110,250
250,109
109,20
20,227
227,250
250,98
98,240
240,117
117,250
250,23
23,236
236,111
111,250
250,196
196,48
48,174
174,250
250,222
222,85
85,171
171,250
251,176
176,233
233,15
15,251
251,226
226,136
136,219
219,251
251,11
11,235
235,82
82,251
251,168
168,103
103,113
113,251
251,10
10,214
214,251
251,80
80,194
194,197
197,251
251,24
24,55
55,47
47,251
251,62
62,69
69,225
225,251
252,83
83,217
217,27
27,252
252,129
129,221
221,61
61,252
252,198
198,73
73,204
204,252
252,96
96,207
207,12
12,252
252,211
211,1
1,90
90,252
252,166
166,185
185,79
79,252
253,188
188,253
253,218
218,184
184,192
192,253
253,108
108,70
70,244
244,253
253,186
186,21
21,138
138,253
253,4
4,100
100,145
145,253
253,94
94,25
25,172
172,253
