StartNode,EndNode
250,60
60,212
212,77
77,126
126,250
250,134
134,159
159,51
51,67
67,116
116,247
247,250
251,15
15,52
52,75
75,162
162,226
226,32
32,78
78,201
201,147
147,127
127,40
40,17
17,175
175,163
163,64
64,125
125,193
193,101
101,148
148,251
251,16
16,3
3,118
118,190
190,26
26,153
153,248
248,121
121,89
89,167
167,13
13,251
252,12
12,112
112,213
213,8
8,33
33,170
170,230
230,58
58,220
220,189
189,106
106,205
205,31
31,229
229,252
253,119
119,245
245,151
151,86
86,149
149,140
140,215
215,4
4,234
234,68
68,142
142,231
231,202
202,253
253,139
139,253
