StartNode,EndNode
250,15
15,102
102,39
39,250
250,58
58,150
150,183
183,250
250,153
153,9
9,26
26,250
250,18
18,1
1,30
30,250
250,214
214,57
57,203
203,250
250,146
146,84
84,135
135,250
250,225
225,223
223,43
43,250
250,249
249,62
62,177
177,250
250,47
47,113
113,235
235,250
250,176
176,226
226,219
219,250
250,215
215,2
2,170
170,250
251,160
160,28
28,251
251,171
171,181
181,169
169,251
251,95
95,34
34,182
182,251
251,218
218,184
184,144
144,251
251,48
48,143
143,196
196,251
251,126
126,116
116,251
251,23
23,236
236,111
111,251
251,179
179,161
161,93
93,251
251,22
22,120
120,44
44,251
251,180
180,216
216,63
63,251
251,41
41,67
67,85
85,251
251,94
94,50
50,187
187,251
251,115
115,209
209,7
7,251
