StartNode,EndNode
161,38
38,30
30,14
14,161
161,23
23,31
31,39
39,161
161,20
20,28
28,36
36,161
161,18
18,26
26,34
34,161
161,5
5,32
32,11
11,161
161,1
1,2
2,161
162,59
59,67
67,75
75,162
162,60
60,68
68,76
76,162
162,55
55,63
63,71
71,162
162,53
53,61
61,69
69,162
162,58
58,66
66,74
74,162
162,46
46,52
52,42
42,162
163,102
102,110
110,118
118,163
163,107
107,99
99,91
91,163
163,90
90,106
106,114
114,163
163,92
92,100
100,86
86,163
163,88
88,85
85,83
83,163
163,82
82,81
81,84
84,163
163,108
108,97
97,98
98,163
164,144
144,152
152,160
160,164
164,139
139,147
147,155
155,164
164,138
138,146
146,154
154,164
164,132
132,158
158,134
134,164
164,140
140,145
145,129
129,164
164,133
133,128
128,164
