StartNode,EndNode
361,19
19,27
27,35
35,361
361,12
12,20
20,28
28,361
361,10
10,18
18,34
34,361
361,21
21,29
29,37
37,361
361,38
38,361
361,39
39,26
26,3
3,361
362,64
64,72
72,80
80,362
362,62
62,70
70,78
78,362
362,61
61,69
69,77
77,362
362,60
60,68
68,76
76,362
362,43
43,50
50,58
58,362
362,44
44,46
46,47
47,362
362,55
55,362
363,104
104,112
112,120
120,363
363,100
100,108
108,105
105,363
363,95
95,103
103,119
119,363
363,98
98,106
106,114
114,363
363,99
99,117
117,111
111,363
363,92
92,86
86,87
87,363
364,142
142,150
150,158
158,364
364,136
136,144
144,152
152,364
364,135
135,143
143,159
159,364
364,132
132,140
140,156
156,364
364,121
121,130
130,138
138,364
364,160
160,364
364,148
148,129
129,124
124,364
365,177
177,185
185,193
193,365
365,183
183,191
191,199
199,365
365,181
181,189
189,197
197,365
365,180
180,188
188,196
196,365
365,178
178,186
186,194
194,365
365,184
184,164
164,365
366,225
225,233
233,238
238,366
366,224
224,232
232,240
240,366
366,223
223,231
231,239
239,366
366,221
221,229
229,237
237,366
366,220
220,228
228,236
236,366
366,203
203,210
210,218
218,366
366,202
202,201
201,204
204,366
367,251
251,259
259,267
267,367
367,249
249,257
257,273
273,367
367,263
263,271
271,279
279,367
367,258
258,266
266,274
274,367
367,248
248,261
261,269
269,367
367,252
252,260
260,268
268,367
367,265
265,246
246,367
368,304
304,312
312,320
320,368
368,297
297,305
305,313
313,368
368,295
295,303
303,311
311,368
368,301
301,309
309,317
317,368
368,298
298,306
306,314
314,368
368,286
286,292
292,300
300,368
368,296
296,288
288,287
287,368
369,339
339,347
347,355
355,369
369,337
337,345
345,353
353,369
369,341
341,349
349,357
357,369
369,335
335,334
334,342
342,369
369,359
359,348
348,369
369,332
332,330
330,323
323,369
