StartNode,EndNode
241,35
35,29
29,21
21,241
241,3
3,11
11,27
27,241
241,9
9,39
39,32
32,241
241,18
18,26
26,34
34,241
241,16
16,23
23,7
7,241
242,51
51,67
67,75
75,242
242,57
57,73
73,65
65,242
242,48
48,72
72,53
53,242
242,59
59,74
74,52
52,242
242,43
43,47
47,44
44,242
243,95
95,111
111,119
119,243
243,109
109,117
117,101
101,243
243,91
91,107
107,99
99,243
243,90
90,98
98,106
106,243
243,97
97,115
115,83
83,243
244,142
142,150
150,156
156,244
244,152
152,160
160,128
128,244
244,145
145,153
153,140
140,244
244,138
138,148
148,136
136,244
245,173
173,181
181,189
189,245
245,191
191,199
199,183
183,245
245,169
169,177
177,185
185,245
245,162
162,170
170,245
245,186
186,194
194,190
190,245
245,175
175,192
192,168
168,245
246,222
222,230
230,231
231,246
246,219
219,227
227,235
235,246
246,218
218,226
226,234
234,246
246,207
207,239
239,216
216,246
246,202
202,210
210,203
203,246
246,215
215,228
228,204
204,246
