StartNode,EndNode
250,92
92,210
210,41
41,110
110,109
109,20
20,227
227,29
29,132
132,171
171,181
181,162
162,75
75,219
219,15
15,102
102,233
233,136
136,226
226,32
32,78
78,201
201,51
51,97
97,105
105,250
250,111
111,236
236,23
23,120
120,22
22,200
200,63
63,216
216,161
161,93
93,91
91,50
50,88
88,247
247,86
86,151
151,94
94,245
245,218
218,119
119,239
239,192
192,144
144,152
152,208
208,246
246,141
141,126
126,37
37,222
222,250
251,58
58,150
150,220
220,36
36,83
83,173
173,27
27,204
204,198
198,73
73,96
96,112
112,8
8,123
123,3
3,25
25,199
199,165
165,6
6,16
16,84
84,135
135,146
146,39
39,122
122,223
223,225
225,241
241,235
235,193
193,251
251,101
101,203
203,131
131,238
238,10
10,42
42,197
197,194
194,80
80,113
113,103
103,168
168,66
66,56
56,242
242,43
43,82
82,157
157,249
249,62
62,237
237,177
177,69
69,163
163,224
224,251
252,244
244,108
108,76
76,188
188,34
34,95
95,156
156,46
46,187
187,107
107,240
240,14
14,143
143,174
174,128
128,179
179,180
180,160
160,164
164,140
140,172
172,74
74,104
104,215
215,213
213,166
166,207
207,54
54,137
137,18
18,191
191,5
5,12
12,49
49,124
124,130
130,61
61,90
90,211
211,79
79,19
19,185
185,72
72,252
