StartNode,EndNode
250,92
92,178
178,210
210,41
41,110
110,60
60,109
109,20
20,227
227,29
29,97
97,132
132,169
169,181
181,243
243,6
6,165
165,37
37,44
44,22
22,120
120,23
23,236
236,111
111,196
196,48
48,174
174,143
143,14
14,107
107,98
98,240
240,128
128,179
179,161
161,93
93,187
187,45
45,77
77,91
91,46
46,216
216,63
63,180
180,200
200,250
251,242
242,38
38,39
39,102
102,15
15,52
52,75
75,162
162,226
226,32
32,78
78,175
175,47
47,168
168,103
103,113
113,80
80,194
194,197
197,42
42,10
10,131
131,214
214,57
57,203
203,11
11,241
241,235
235,82
82,157
157,249
249,237
237,177
177,251
251,223
223,43
43,122
122,146
146,135
135,84
84,3
3,118
118,190
190,26
26,153
153,248
248,89
89,167
167,13
13,251
252,49
49,12
12,133
133,5
5,191
191,54
54,204
204,198
198,73
73,96
96,112
112,8
8,207
207,19
19,72
72,211
211,90
90,61
61,129
129,221
221,130
130,53
53,228
228,173
173,27
27,195
195,2
2,170
170,230
230,58
58,183
183,150
150,36
36,220
220,206
206,83
83,252
253,188
188,28
28,156
156,144
144,192
192,184
184,218
218,119
119,245
245,151
151,86
86,149
149,152
152,208
208,246
246,7
7,164
164,140
140,186
186,21
21,138
138,100
100,145
145,115
115,209
209,99
99,70
70,108
108,244
244,68
68,142
142,231
231,253
