StartNode,EndNode
250,110
110,20
20,227
227,29
29,132
132,181
181,52
52,219
219,15
15,102
102,233
233,136
136,226
226,78
78,201
201,32
32,75
75,162
162,171
171,250
250,161
161,93
93,187
187,45
45,91
91,77
77,50
50,88
88,151
151,94
94,245
245,218
218,192
192,144
144,156
156,46
46,216
216,63
63,200
200,208
208,246
246,25
25,141
141,104
104,96
96,112
112,8
8,126
126,37
37,165
165,222
222,250
251,170
170,2
2,36
36,83
83,217
217,195
195,18
18,204
204,198
198,73
73,190
190,123
123,3
3,143
143,107
107,174
174,6
6,243
243,84
84,135
135,146
146,39
39,122
122,223
223,225
225,241
241,235
235,193
193,251
251,101
101,203
203,131
131,238
238,10
10,42
42,197
197,194
194,80
80,113
113,103
103,168
168,66
66,56
56,242
242,43
43,157
157,249
249,62
62,237
237,177
177,69
69,163
163,224
224,125
125,251
252,145
145,115
115,87
87,188
188,34
34,95
95,182
182,152
152,180
180,179
179,48
48,14
14,240
240,117
117,178
178,92
92,111
111,236
236,23
23,120
120,22
22,160
160,7
7,164
164,140
140,172
172,74
74,215
215,213
213,166
166,207
207,54
54,27
27,173
173,137
137,124
124,49
49,130
130,129
129,61
61,90
90,211
211,12
12,5
5,191
191,79
79,19
19,185
185,72
72,234
234,252
