StartNode,EndNode
501,31
31,13
13,489
489,60
60,240
240,501
501,56
56,488
488,272
272,22
22,287
287,501
501,24
24,275
275,350
350,268
268,58
58,501
501,432
432,449
449,412
412,71
71,199
199,501
501,374
374,226
226,3
3,487
487,341
341,501
501,253
253,132
132,77
77,380
380,220
220,501
501,15
15,144
144,187
187,376
376,105
105,501
501,104
104,501
501,247
247,44
44,454
454,175
175,463
463,501
502,114
114,478
478,66
66,379
379,201
201,502
502,442
442,258
258,141
141,74
74,121
121,502
502,377
377,171
171,407
407,331
331,445
445,502
502,103
103,375
375,381
381,493
493,50
50,502
502,98
98,439
439,453
453,194
194,293
293,502
502,228
228,461
461,133
133,215
215,441
441,502
502,157
157,166
166,217
217,30
30,37
37,502
502,125
125,436
436,137
137,502
502,191
191,271
271,283
283,1
1,368
368,502
503,167
167,32
32,316
316,209
209,75
75,503
503,357
357,159
159,250
250,235
235,277
277,503
503,328
328,223
223,326
326,410
410,234
234,503
503,334
334,170
170,12
12,243
243,462
462,503
503,186
186,422
422,429
429,115
115,416
416,503
503,40
40,164
164,211
211,475
475,202
202,503
503,486
486,156
156,473
473,256
256,189
189,503
503,25
25,503
503,369
369,364
364,298
298,394
394,409
409,503
504,370
370,396
396,242
242,55
55,183
183,504
504,131
131,224
224,310
310,383
383,109
109,504
504,356
356,413
413,347
347,411
411,188
188,504
504,206
206,45
45,94
94,392
392,19
19,504
504,395
395,87
87,84
84,158
158,173
173,504
504,417
417,300
300,389
389,424
424,281
281,504
504,85
85,378
378,177
177,90
90,149
149,504
504,246
246,504
504,80
80,62
62,118
118,110
110,230
230,504
504,440
440,204
204,147
147,86
86,96
96,504
505,145
145,42
42,99
99,499
499,52
52,505
505,290
290,291
291,2
2,481
481,318
318,505
505,134
134,505
