StartNode,EndNode
501,187
187,70
70,228
228,469
469,144
144,501
501,172
172,429
429,416
416,115
115,241
241,501
501,374
374,226
226,487
487,3
3,77
77,501
501,220
220,175
175,380
380,34
34,482
482,501
501,186
186,386
386,250
250,199
199,104
104,501
501,247
247,44
44,454
454,232
232,296
296,501
502,375
375,1
1,27
27,103
103,502
502,139
139,191
191,414
414,137
137,436
436,502
502,453
453,293
293,480
480,194
194,30
30,502
502,37
37,233
233,461
461,121
121,441
441,502
502,217
217,314
314,142
142,166
166,36
36,502
502,133
133,379
379,201
201,125
125,397
397,502
502,283
283,288
288,230
230,271
271,50
50,502
503,328
328,223
223,59
59,164
164,503
503,326
326,410
410,192
192,304
304,40
40,503
503,170
170,146
146,7
7,352
352,234
234,503
503,255
255,279
279,259
259,167
167,321
321,503
503,211
211,475
475,202
202,498
498,503
503,189
189,213
213,486
486,473
473,256
256,503
503,435
435,418
418,25
25,335
335,193
193,503
503,369
369,364
364,63
63,298
298,394
394,503
504,113
113,54
54,504
504,28
28,246
246,440
440,458
458,204
204,504
504,92
92,94
94,188
188,411
411,356
356,504
504,395
395,87
87,84
84,158
158,147
147,504
504,96
96,19
19,86
86,108
108,447
447,504
504,55
55,183
183,387
387,178
178,349
349,504
504,80
80,62
62,118
118,470
470,110
110,504
505,168
168,243
243,12
12,210
210,52
52,505
505,290
290,424
424,399
399,499
499,145
145,505
505,434
434,22
22,376
376,105
105,203
203,505
505,483
483,31
31,13
13,60
60,240
240,505
505,200
200,422
422,481
481,2
2,291
291,505
505,42
42,99
99,134
134,392
392,225
225,505
