StartNode,EndNode
501,44
44,195
195,21
21,478
478,388
388,501
501,330
330,170
170,470
470,104
104,278
278,501
501,227
227,346
346,362
362,126
126,372
372,501
501,348
348,177
177,430
430,340
340,190
190,501
501,41
41,4
4,26
26,28
28,160
160,501
501,118
118,217
217,315
315,413
413,95
95,501
501,272
272,56
56,172
172,46
46,13
13,501
501,390
390,63
63,277
277,501
502,236
236,266
266,146
146,82
82,485
485,502
502,208
208,235
235,448
448,213
213,383
383,502
502,188
188,260
260,10
10,107
107,469
469,502
502,409
409,106
106,394
394,209
209,2
2,502
502,406
406,150
150,418
418,245
245,201
201,502
502,178
178,59
59,143
143,486
486,71
71,502
502,276
276,200
200,166
166,345
345,335
335,502
502,416
416,360
360,52
52,442
442,254
254,502
502,39
39,157
157,218
218,381
381,392
392,502
502,460
460,22
22,480
480,436
436,133
133,502
502,61
61,155
155,322
322,223
223,344
344,502
503,203
203,94
94,285
285,454
454,432
432,503
503,244
244,70
70,179
179,317
317,503
503,404
404,412
412,321
321,503
503,202
202,15
15,368
368,37
37,233
233,503
503,282
282,497
497,148
148,387
387,377
377,503
503,158
158,410
410,219
219,197
197,86
86,503
503,108
108,231
231,292
292,503
503,113
113,168
168,57
57,319
319,503
503,239
239,136
136,173
173,89
89,367
367,503
503,281
281,355
355,242
242,187
187,175
175,503
504,354
354,433
433,263
263,110
110,132
132,504
504,386
386,300
300,291
291,349
349,487
487,504
504,365
365,253
253,464
464,385
385,374
374,504
504,250
250,51
51,249
249,205
205,152
152,504
504,465
465,88
88,296
296,43
43,294
294,504
504,241
241,40
40,72
72,461
461,440
440,504
504,210
210,303
303,215
215,496
496,473
473,504
